date,region,day_of_week,month,weekend_flag,holiday_flag,avg_temperature,precipitation,wind_speed,visibility,trauma_index,hospital_transfer_volume,rurality_index,daily_transport_requests
2022-01-23,Mountain West,6,1,1,0,51.89,0.21,9.92,10.38,8.79,30,0.85,35
2022-01-23,Midwest,6,1,1,0,64.09,0.61,12.92,7.28,5.89,26,0.65,31
2022-01-23,Southeast,6,1,1,0,84.4,0.44,16.91,9.3,4.75,20,0.55,25
2022-01-23,Northeast,6,1,1,0,60.21,0.05,10.14,10.56,5.29,23,0.35,27
2022-01-23,Southwest,6,1,1,0,88.87,0.69,8.46,8.44,5.37,37,0.75,36
2022-01-24,Mountain West,0,1,0,0,58.65,0.2,7.77,8.39,6.61,15,0.85,24
2022-01-24,Midwest,0,1,0,0,67.17,0.0,7.21,8.75,7.35,26,0.65,30
2022-01-24,Southeast,0,1,0,0,69.31,0.0,12.2,7.0,3.47,14,0.55,22
2022-01-24,Northeast,0,1,0,0,50.32,0.37,13.25,7.8,7.77,19,0.35,24
2022-01-24,Southwest,0,1,0,0,84.73,0.21,8.79,8.7,3.12,30,0.75,29
2022-01-25,Mountain West,1,1,0,0,57.06,0.26,12.85,8.9,5.96,18,0.85,29
2022-01-25,Midwest,1,1,0,0,61.18,0.33,9.55,10.88,3.99,18,0.65,26
2022-01-25,Southeast,1,1,0,0,78.77,0.0,14.2,6.69,4.33,21,0.55,21
2022-01-25,Northeast,1,1,0,0,48.5,0.34,13.93,8.85,3.55,15,0.35,19
2022-01-25,Southwest,1,1,0,0,94.02,0.37,8.9,8.05,5.31,16,0.75,20
2022-01-26,Mountain West,2,1,0,0,48.99,0.08,18.99,9.28,4.14,19,0.85,25
2022-01-26,Midwest,2,1,0,0,68.4,0.38,10.3,6.71,6.05,26,0.65,28
2022-01-26,Southeast,2,1,0,0,84.3,0.02,16.59,8.4,8.11,23,0.55,28
2022-01-26,Northeast,2,1,0,0,54.09,0.03,8.4,8.85,5.78,23,0.35,25
2022-01-26,Southwest,2,1,0,0,95.37,0.26,10.19,8.24,5.92,15,0.75,22
2022-01-27,Mountain West,3,1,0,0,53.46,0.0,12.0,9.29,4.28,22,0.85,29
2022-01-27,Midwest,3,1,0,0,61.35,0.41,18.42,7.08,6.62,31,0.65,30
2022-01-27,Southeast,3,1,0,0,81.91,0.0,17.38,10.76,4.06,17,0.55,23
2022-01-27,Northeast,3,1,0,0,57.85,0.44,12.72,7.26,6.16,19,0.35,18
2022-01-27,Southwest,3,1,0,0,82.83,0.0,3.53,10.32,4.3,20,0.75,26
2022-01-28,Mountain West,4,1,0,0,55.46,0.0,14.98,7.01,2.67,26,0.85,25
2022-01-28,Midwest,4,1,0,0,57.91,0.06,8.39,12.15,5.57,24,0.65,28
2022-01-28,Southeast,4,1,0,0,76.45,0.1,9.64,7.93,6.09,10,0.55,22
2022-01-28,Northeast,4,1,0,0,62.4,0.13,10.39,4.0,6.37,20,0.35,25
2022-01-28,Southwest,4,1,0,0,97.53,0.12,15.54,5.92,5.92,39,0.75,31
2022-01-29,Mountain West,5,1,1,0,51.26,0.63,9.05,8.43,6.31,35,0.85,35
2022-01-29,Midwest,5,1,1,0,74.42,0.14,11.01,10.1,6.66,19,0.65,31
2022-01-29,Southeast,5,1,1,0,87.8,0.0,11.51,6.49,4.9,23,0.55,28
2022-01-29,Northeast,5,1,1,0,56.54,0.39,15.95,5.54,5.9,25,0.35,29
2022-01-29,Southwest,5,1,1,0,84.1,0.18,9.13,8.03,3.36,22,0.75,23
2022-01-30,Mountain West,6,1,1,0,49.05,0.0,6.81,5.35,7.46,27,0.85,36
2022-01-30,Midwest,6,1,1,0,65.89,0.07,0.0,12.58,2.92,24,0.65,23
2022-01-30,Southeast,6,1,1,0,86.31,0.29,12.97,9.71,6.14,20,0.55,28
2022-01-30,Northeast,6,1,1,0,47.84,0.13,5.06,5.79,5.27,18,0.35,28
2022-01-30,Southwest,6,1,1,0,79.06,0.39,5.09,7.55,5.83,19,0.75,26
2022-01-31,Mountain West,0,1,0,0,51.39,0.23,2.04,8.88,4.97,30,0.85,30
2022-01-31,Midwest,0,1,0,0,60.75,0.04,10.61,9.09,5.07,19,0.65,25
2022-01-31,Southeast,0,1,0,0,69.58,0.59,3.78,6.61,3.92,27,0.55,26
2022-01-31,Northeast,0,1,0,0,53.96,0.22,5.82,12.29,3.22,17,0.35,21
2022-01-31,Southwest,0,1,0,0,85.26,0.11,14.82,12.42,4.16,25,0.75,23
2022-02-01,Mountain West,1,2,0,0,57.5,0.56,18.39,6.89,5.85,21,0.85,30
2022-02-01,Midwest,1,2,0,0,63.83,0.0,6.75,5.55,5.05,19,0.65,24
2022-02-01,Southeast,1,2,0,0,87.31,0.36,0.03,8.75,6.84,23,0.55,25
2022-02-01,Northeast,1,2,0,0,61.09,0.14,12.79,8.15,5.81,16,0.35,22
2022-02-01,Southwest,1,2,0,0,91.65,0.0,6.32,10.47,6.64,33,0.75,34
2022-02-02,Mountain West,2,2,0,0,55.77,0.07,16.07,8.28,8.48,17,0.85,31
2022-02-02,Midwest,2,2,0,0,68.12,0.11,13.54,9.91,3.82,24,0.65,23
2022-02-02,Southeast,2,2,0,0,78.7,0.0,11.94,12.99,4.99,16,0.55,26
2022-02-02,Northeast,2,2,0,0,70.83,0.08,11.34,8.64,4.0,13,0.35,23
2022-02-02,Southwest,2,2,0,0,95.54,0.0,10.14,7.98,6.63,18,0.75,29
2022-02-03,Mountain West,3,2,0,0,62.17,0.35,16.95,9.12,5.02,23,0.85,24
2022-02-03,Midwest,3,2,0,0,63.66,0.1,10.28,9.06,4.89,20,0.65,27
2022-02-03,Southeast,3,2,0,0,79.68,0.11,3.95,9.2,7.3,17,0.55,29
2022-02-03,Northeast,3,2,0,0,64.04,0.52,10.74,7.33,4.08,23,0.35,23
2022-02-03,Southwest,3,2,0,0,93.28,0.15,12.18,10.38,6.42,24,0.75,26
2022-02-04,Mountain West,4,2,0,0,54.12,0.09,4.15,4.4,5.81,29,0.85,32
2022-02-04,Midwest,4,2,0,0,63.86,0.0,7.27,8.78,2.78,35,0.65,29
2022-02-04,Southeast,4,2,0,0,86.04,0.0,15.98,7.68,4.96,17,0.55,22
2022-02-04,Northeast,4,2,0,0,64.28,0.58,3.14,4.77,7.21,25,0.35,27
2022-02-04,Southwest,4,2,0,0,88.69,0.61,13.39,7.02,8.24,26,0.75,30
2022-02-05,Mountain West,5,2,1,0,70.13,0.54,10.16,6.49,5.69,25,0.85,29
2022-02-05,Midwest,5,2,1,0,65.13,0.2,3.26,6.06,6.8,26,0.65,30
2022-02-05,Southeast,5,2,1,0,92.43,0.33,14.98,6.49,2.87,18,0.55,26
2022-02-05,Northeast,5,2,1,0,73.29,0.29,12.28,12.33,4.03,22,0.35,27
2022-02-05,Southwest,5,2,1,0,95.55,0.42,8.18,6.32,3.43,23,0.75,23
2022-02-06,Mountain West,6,2,1,0,60.99,0.08,11.54,9.63,6.29,33,0.85,34
2022-02-06,Midwest,6,2,1,0,65.83,0.55,12.45,9.47,5.99,18,0.65,29
2022-02-06,Southeast,6,2,1,0,87.72,0.0,7.36,9.17,6.86,26,0.55,32
2022-02-06,Northeast,6,2,1,0,66.77,0.8,12.83,4.48,6.13,23,0.35,27
2022-02-06,Southwest,6,2,1,0,91.49,0.0,8.95,6.3,4.13,25,0.75,30
2022-02-07,Mountain West,0,2,0,0,55.15,0.26,15.98,6.78,4.8,29,0.85,29
2022-02-07,Midwest,0,2,0,0,62.61,0.31,9.4,8.84,3.67,20,0.65,23
2022-02-07,Southeast,0,2,0,0,95.68,0.05,11.12,9.87,2.87,25,0.55,21
2022-02-07,Northeast,0,2,0,0,56.17,0.47,7.24,13.12,4.15,22,0.35,23
2022-02-07,Southwest,0,2,0,0,104.69,0.45,15.12,9.19,6.17,24,0.75,27
2022-02-08,Mountain West,1,2,0,0,61.3,0.04,13.48,9.91,5.13,24,0.85,31
2022-02-08,Midwest,1,2,0,0,63.02,0.0,9.59,7.76,7.27,25,0.65,32
2022-02-08,Southeast,1,2,0,0,92.65,0.3,8.87,6.08,4.44,23,0.55,27
2022-02-08,Northeast,1,2,0,0,62.39,0.0,10.7,4.46,5.48,17,0.35,23
2022-02-08,Southwest,1,2,0,0,95.4,0.02,4.15,2.26,4.96,23,0.75,29
2022-02-09,Mountain West,2,2,0,0,58.71,0.27,5.01,8.6,6.15,37,0.85,36
2022-02-09,Midwest,2,2,0,0,66.72,0.1,5.61,6.35,4.66,20,0.65,26
2022-02-09,Southeast,2,2,0,0,94.28,0.08,9.89,6.51,1.36,20,0.55,23
2022-02-09,Northeast,2,2,0,0,65.72,0.28,2.19,6.94,6.19,16,0.35,21
2022-02-09,Southwest,2,2,0,0,95.12,0.14,1.92,10.33,3.9,30,0.75,27
2022-02-10,Mountain West,3,2,0,0,56.23,0.17,12.14,9.39,5.26,25,0.85,28
2022-02-10,Midwest,3,2,0,0,60.89,0.0,12.18,9.81,1.46,25,0.65,21
2022-02-10,Southeast,3,2,0,0,85.45,0.0,9.09,10.75,4.03,17,0.55,22
2022-02-10,Northeast,3,2,0,0,66.06,0.56,11.62,7.5,4.56,20,0.35,19
2022-02-10,Southwest,3,2,0,0,91.24,0.95,11.49,6.5,4.36,19,0.75,25
2022-02-11,Mountain West,4,2,0,0,67.84,0.0,19.37,10.16,4.33,33,0.85,33
2022-02-11,Midwest,4,2,0,0,70.23,0.0,6.78,10.06,4.5,25,0.65,26
2022-02-11,Southeast,4,2,0,0,97.7,0.0,10.12,10.82,4.88,24,0.55,28
2022-02-11,Northeast,4,2,0,0,64.2,0.4,15.94,13.18,5.87,13,0.35,23
2022-02-11,Southwest,4,2,0,0,94.35,0.08,10.84,10.64,3.49,24,0.75,28
2022-02-12,Mountain West,5,2,1,0,49.59,0.0,16.48,7.95,3.5,28,0.85,29
2022-02-12,Midwest,5,2,1,0,65.89,0.06,8.04,6.16,7.42,25,0.65,32
2022-02-12,Southeast,5,2,1,0,91.31,0.04,12.02,7.95,3.64,25,0.55,28
2022-02-12,Northeast,5,2,1,0,62.53,0.2,11.42,7.48,5.88,18,0.35,25
2022-02-12,Southwest,5,2,1,0,93.08,0.63,5.0,6.64,5.77,30,0.75,32
2022-02-13,Mountain West,6,2,1,0,66.13,0.43,12.05,7.52,6.01,18,0.85,32
2022-02-13,Midwest,6,2,1,0,73.96,0.12,0.0,9.69,4.2,20,0.65,27
2022-02-13,Southeast,6,2,1,0,88.4,0.09,13.69,9.23,3.6,28,0.55,31
2022-02-13,Northeast,6,2,1,0,67.52,0.61,8.88,7.3,4.97,18,0.35,24
2022-02-13,Southwest,6,2,1,0,86.0,0.0,14.75,11.42,4.84,29,0.75,31
2022-02-14,Mountain West,0,2,0,0,62.74,0.44,5.36,8.48,6.46,32,0.85,33
2022-02-14,Midwest,0,2,0,0,51.1,0.32,6.73,4.34,5.77,30,0.65,32
2022-02-14,Southeast,0,2,0,0,94.99,0.48,18.2,9.48,5.11,15,0.55,19
2022-02-14,Northeast,0,2,0,0,78.35,0.11,10.62,9.1,5.07,23,0.35,29
2022-02-14,Southwest,0,2,0,0,87.87,0.0,6.94,7.93,4.36,39,0.75,31
2022-02-15,Mountain West,1,2,0,0,53.88,0.13,2.48,9.52,5.12,20,0.85,24
2022-02-15,Midwest,1,2,0,0,65.47,0.0,11.6,10.68,2.19,32,0.65,27
2022-02-15,Southeast,1,2,0,0,86.6,0.0,8.4,6.41,6.61,22,0.55,28
2022-02-15,Northeast,1,2,0,0,61.07,0.0,0.98,4.83,5.4,22,0.35,27
2022-02-15,Southwest,1,2,0,0,89.42,0.19,18.06,9.79,4.6,23,0.75,24
2022-02-16,Mountain West,2,2,0,0,61.05,0.0,9.34,8.15,4.66,35,0.85,31
2022-02-16,Midwest,2,2,0,0,60.78,0.5,9.51,8.04,6.06,25,0.65,28
2022-02-16,Southeast,2,2,0,0,81.65,0.24,4.28,8.22,4.95,19,0.55,24
2022-02-16,Northeast,2,2,0,0,62.03,0.17,10.8,5.94,6.9,23,0.35,26
2022-02-16,Southwest,2,2,0,0,88.44,0.59,4.03,9.84,6.5,23,0.75,27
2022-02-17,Mountain West,3,2,0,0,64.05,0.22,9.33,9.62,6.19,23,0.85,25
2022-02-17,Midwest,3,2,0,0,73.52,0.43,4.55,7.18,3.34,30,0.65,26
2022-02-17,Southeast,3,2,0,0,93.18,0.5,7.19,7.58,2.47,25,0.55,21
2022-02-17,Northeast,3,2,0,0,57.91,0.0,9.87,8.56,3.79,21,0.35,24
2022-02-17,Southwest,3,2,0,0,95.6,0.15,7.82,7.78,4.87,18,0.75,25
2022-02-18,Mountain West,4,2,0,0,60.77,0.55,12.8,7.41,6.05,26,0.85,28
2022-02-18,Midwest,4,2,0,0,66.68,0.26,2.15,5.75,3.21,24,0.65,25
2022-02-18,Southeast,4,2,0,0,89.15,0.28,0.99,6.91,3.82,13,0.55,20
2022-02-18,Northeast,4,2,0,0,53.44,0.34,4.64,8.48,8.11,21,0.35,26
2022-02-18,Southwest,4,2,0,0,98.93,0.64,3.85,8.99,4.3,24,0.75,25
2022-02-19,Mountain West,5,2,1,0,63.84,0.27,15.43,8.2,5.46,18,0.85,27
2022-02-19,Midwest,5,2,1,0,71.05,0.06,11.89,7.94,6.69,24,0.65,31
2022-02-19,Southeast,5,2,1,0,79.89,0.0,7.02,10.75,1.8,23,0.55,31
2022-02-19,Northeast,5,2,1,0,64.99,0.22,12.61,9.29,5.83,16,0.35,26
2022-02-19,Southwest,5,2,1,0,91.15,0.43,12.97,2.12,5.98,27,0.75,30
2022-02-20,Mountain West,6,2,1,0,57.68,0.25,5.14,5.24,4.06,27,0.85,31
2022-02-20,Midwest,6,2,1,0,71.67,0.28,6.79,8.86,6.2,25,0.65,32
2022-02-20,Southeast,6,2,1,0,87.43,0.42,9.87,6.24,4.76,21,0.55,25
2022-02-20,Northeast,6,2,1,0,60.57,0.07,0.53,8.43,5.0,25,0.35,26
2022-02-20,Southwest,6,2,1,0,82.68,0.0,6.15,6.12,6.24,21,0.75,30
2022-02-21,Mountain West,0,2,0,0,66.13,0.0,10.3,8.55,7.04,25,0.85,29
2022-02-21,Midwest,0,2,0,0,78.12,0.46,11.05,7.02,6.21,28,0.65,27
2022-02-21,Southeast,0,2,0,0,91.68,0.84,11.96,6.98,4.96,19,0.55,20
2022-02-21,Northeast,0,2,0,0,62.18,0.19,5.89,10.24,5.0,10,0.35,21
2022-02-21,Southwest,0,2,0,0,90.35,0.19,14.13,6.27,4.01,22,0.75,25
2022-02-22,Mountain West,1,2,0,0,59.46,0.37,11.31,8.39,6.28,23,0.85,28
2022-02-22,Midwest,1,2,0,0,68.91,0.0,0.0,7.73,7.13,26,0.65,32
2022-02-22,Southeast,1,2,0,0,85.85,0.2,6.91,7.37,5.92,12,0.55,26
2022-02-22,Northeast,1,2,0,0,65.32,0.3,2.78,3.41,4.17,19,0.35,19
2022-02-22,Southwest,1,2,0,0,89.6,0.51,11.63,8.6,5.93,24,0.75,25
2022-02-23,Mountain West,2,2,0,0,66.34,0.0,2.23,9.64,5.56,28,0.85,29
2022-02-23,Midwest,2,2,0,0,60.18,0.56,5.5,9.28,4.51,21,0.65,26
2022-02-23,Southeast,2,2,0,0,85.57,0.0,13.7,6.97,4.66,22,0.55,24
2022-02-23,Northeast,2,2,0,0,79.8,0.35,9.9,7.47,5.03,23,0.35,26
2022-02-23,Southwest,2,2,0,0,96.61,0.33,12.19,8.04,6.01,17,0.75,27
2022-02-24,Mountain West,3,2,0,0,62.93,0.54,3.8,5.06,5.25,31,0.85,30
2022-02-24,Midwest,3,2,0,0,68.36,0.21,8.88,10.98,2.6,14,0.65,19
2022-02-24,Southeast,3,2,0,0,84.7,0.0,9.12,11.32,5.03,35,0.55,31
2022-02-24,Northeast,3,2,0,0,57.76,0.0,8.12,7.36,6.92,22,0.35,29
2022-02-24,Southwest,3,2,0,0,95.31,0.44,17.9,5.97,3.78,32,0.75,25
2022-02-25,Mountain West,4,2,0,0,68.24,0.13,8.4,8.3,3.75,25,0.85,31
2022-02-25,Midwest,4,2,0,0,79.46,0.15,9.05,7.29,4.73,24,0.65,29
2022-02-25,Southeast,4,2,0,0,76.78,0.08,7.85,9.18,2.6,21,0.55,24
2022-02-25,Northeast,4,2,0,0,66.46,0.0,12.13,8.04,4.04,20,0.35,24
2022-02-25,Southwest,4,2,0,0,96.64,0.0,5.22,8.94,7.23,24,0.75,31
2022-02-26,Mountain West,5,2,1,0,54.82,0.3,14.41,7.1,4.29,24,0.85,29
2022-02-26,Midwest,5,2,1,0,79.92,0.09,8.21,6.7,6.12,27,0.65,31
2022-02-26,Southeast,5,2,1,0,93.84,0.0,0.67,10.02,3.97,23,0.55,29
2022-02-26,Northeast,5,2,1,0,58.05,0.33,10.07,6.09,4.39,31,0.35,30
2022-02-26,Southwest,5,2,1,0,104.18,0.0,18.09,8.21,3.65,31,0.75,28
2022-02-27,Mountain West,6,2,1,0,61.56,0.53,2.74,7.98,3.12,22,0.85,27
2022-02-27,Midwest,6,2,1,0,51.7,0.2,12.18,8.81,6.85,27,0.65,30
